"","bene_count","bene_count_ge65","bene_count_ge65_suppress_flag","description_flag","drug_name","ge65_suppress_flag","generic_name","npi","nppes_provider_city","nppes_provider_first_name","nppes_provider_last_org_name","nppes_provider_state","specialty_desc","total_30_day_fill_count","total_30_day_fill_count_ge65","total_claim_count","total_claim_count_ge65","total_day_supply","total_day_supply_ge65","total_drug_cost","total_drug_cost_ge65"
"1",NA,NA,"*","S","METHADONE HCL","*","METHADONE HCL",1538123401,"HARRISONBURG","STEPHEN","PHILLIPS","VA","Internal Medicine",23,NA,23,NA,690,NA,296.81,NA
"2",NA,NA,"*","S","METHADONE HCL","*","METHADONE HCL",1104800978,"WOODLAWN","LEE","THOMPSON","VA","Physician Assistant",11,NA,11,NA,180,NA,188.61,NA
"3",NA,NA,"*","S","SUBOXONE","","BUPRENORPHINE HCL/NALOXONE HCL",1225118805,"RICHMOND","JAMES","SELLMAN","VA","Psychiatry",13,13,13,13,390,390,6154.72,6154.72
"4",NA,0,"","S","SUBOXONE","","BUPRENORPHINE HCL/NALOXONE HCL",1316107931,"ROANOKE","ROOPA","SETHI","VA","Psychiatry",32,0,32,0,353,0,7998.92,0
"5",NA,NA,"*","S","METHADONE HCL","","METHADONE HCL",1952329062,"LYNCHBURG","KATHLEEN","PAUL","VA","Hematology/Oncology",11,11,11,11,330,330,107.98,107.98
"6",NA,NA,"*","S","METHADONE HCL","*","METHADONE HCL",1962422022,"CARROLLTON","QINGYAN","ZHU","VA","Neurology",21,NA,21,NA,630,NA,455.19,NA
"7",NA,0,"","S","NALTREXONE HCL","","NALTREXONE HCL",1316111024,"GALAX","JOHN","CLAY","VA","Physician Assistant",12,0,12,0,360,0,871.66,0
"8",NA,NA,"*","S","METHADONE HCL","","METHADONE HCL",1669673000,"LURAY","DANIELLE","DESROCHERS","VA","Family Practice",34,11,34,11,1020,330,620.37,286.45
"9",34,12,"","S","METHADONE HCL","","METHADONE HCL",1588662795,"WEYERS CAVE","DEBRA","WELK","VA","Nurse Practitioner",255,95,254,95,7578,2807,6142.73,1742.69
"10",NA,NA,"*","S","METHADONE HCL","*","METHADONE HCL",1184063315,"WOODLAWN","JAMIE","WOOD","VA","Nurse Practitioner",18,NA,18,NA,291,NA,256.58,NA
"11",58,15,"","S","METHADONE HCL","","METHADONE HCL",1962682534,"PORTSMOUTH","KATIE","GERARGE","VA","Physician Assistant",321.5,59.4,318,57,9144,1781,10373.71,1601.14
"12",NA,NA,"*","S","BUTRANS","*","BUPRENORPHINE",1063497469,"CHARLOTTESVILLE","DENISE","CROSSON","VA","Nurse Practitioner",24,NA,24,NA,679,NA,10874.87,NA
"13",NA,NA,"*","S","METHADONE HCL","","METHADONE HCL",1740222843,"DANVILLE","RAJENDRA","TRIVEDI","VA","Family Practice",14,14,14,14,322,322,220.71,220.71
"14",NA,0,"","S","BUPRENORPHINE HCL","","BUPRENORPHINE HCL",1306899851,"COLONIAL HEIGHTS","NICHOLAS","EMILIANI","VA","Psychiatry",18,0,18,0,428,0,1725.69,0
