"","zip","county","County.FIP","Name","State","State.FIP","County.Name"
"1","06033",9003,3,"Connecticut","CT",9,"Hartford County"
"2","06037",9003,3,"Connecticut","CT",9,"Hartford County"
"3","06040",9003,3,"Connecticut","CT",9,"Hartford County"
"4","06039",9005,5,"Connecticut","CT",9,"Litchfield County"
"5","06062",9003,3,"Connecticut","CT",9,"Hartford County"
"6","06074",9003,3,"Connecticut","CT",9,"Hartford County"
"7","06095",9003,3,"Connecticut","CT",9,"Hartford County"
"8","06013",9003,3,"Connecticut","CT",9,"Hartford County"
"9","06010",9003,3,"Connecticut","CT",9,"Hartford County"
"10","06106",9003,3,"Connecticut","CT",9,"Hartford County"
"11","06375",9011,11,"Connecticut","CT",9,"New London County"
"12","06340",9011,11,"Connecticut","CT",9,"New London County"
"13","06371",9011,11,"Connecticut","CT",9,"New London County"
"14","06410",9009,9,"Connecticut","CT",9,"New Haven County"
"15","06443",9009,9,"Connecticut","CT",9,"New Haven County"
"16","06415",9007,7,"Connecticut","CT",9,"Middlesex County"
"17","06447",9003,3,"Connecticut","CT",9,"Hartford County"
"18","06418",9009,9,"Connecticut","CT",9,"New Haven County"
"19","06424",9007,7,"Connecticut","CT",9,"Middlesex County"
"20","06234",9015,15,"Connecticut","CT",9,"Windham County"
"21","06320",9011,11,"Connecticut","CT",9,"New London County"
"22","06250",9013,13,"Connecticut","CT",9,"Tolland County"
"23","06232",9013,13,"Connecticut","CT",9,"Tolland County"
"24","06457",9007,7,"Connecticut","CT",9,"Middlesex County"
"25","06461",9009,9,"Connecticut","CT",9,"New Haven County"
"26","06513",9009,9,"Connecticut","CT",9,"New Haven County"
"27","06520",9009,9,"Connecticut","CT",9,"New Haven County"
"28","06517",9009,9,"Connecticut","CT",9,"New Haven County"
"29","06488",9009,9,"Connecticut","CT",9,"New Haven County"
"30","06484",9001,1,"Connecticut","CT",9,"Fairfield County"
"31","06480",9007,7,"Connecticut","CT",9,"Middlesex County"
"32","06481",9007,7,"Connecticut","CT",9,"Middlesex County"
"33","06759",9005,5,"Connecticut","CT",9,"Litchfield County"
"34","06756",9005,5,"Connecticut","CT",9,"Litchfield County"
"35","06850",9001,1,"Connecticut","CT",9,"Fairfield County"
"36","06840",9001,1,"Connecticut","CT",9,"Fairfield County"
"37","06906",9001,1,"Connecticut","CT",9,"Fairfield County"
"38","06791",9005,5,"Connecticut","CT",9,"Litchfield County"
"39","06798",9005,5,"Connecticut","CT",9,"Litchfield County"
"40","06793",9005,5,"Connecticut","CT",9,"Litchfield County"
"41","06330",9015,15,"Connecticut","CT",9,"Windham County"
"42","06699",9001,1,"Connecticut","CT",9,"Fairfield County"
"43","06129",9003,3,"Connecticut","CT",9,"Hartford County"
"44","06503",9009,9,"Connecticut","CT",9,"New Haven County"
"45","06722",9009,9,"Connecticut","CT",9,"New Haven County"
"46","06444",9003,3,"Connecticut","CT",9,"Hartford County"
"47","06230",9015,15,"Connecticut","CT",9,"Windham County"
"48","06147",9003,3,"Connecticut","CT",9,"Hartford County"
"49","06243",9015,15,"Connecticut","CT",9,"Windham County"
"50","06064",9003,3,"Connecticut","CT",9,"Hartford County"
"51","06373",9015,15,"Connecticut","CT",9,"Windham County"
"52","06066",9003,3,"Connecticut","CT",9,"Hartford County"
"53","06888",9001,1,"Connecticut","CT",9,"Fairfield County"
"54","06057",9005,5,"Connecticut","CT",9,"Litchfield County"
"55","06073",9003,3,"Connecticut","CT",9,"Hartford County"
"56","06070",9003,3,"Connecticut","CT",9,"Hartford County"
"57","06019",9003,3,"Connecticut","CT",9,"Hartford County"
"58","06335",9011,11,"Connecticut","CT",9,"New London County"
"59","06354",9015,15,"Connecticut","CT",9,"Windham County"
"60","06442",9007,7,"Connecticut","CT",9,"Middlesex County"
"61","06131",9003,3,"Connecticut","CT",9,"Hartford County"
"62","06241",9015,15,"Connecticut","CT",9,"Windham County"
"63","06134",9003,3,"Connecticut","CT",9,"Hartford County"
"64","06119",9003,3,"Connecticut","CT",9,"Hartford County"
"65","06142",9003,3,"Connecticut","CT",9,"Hartford County"
"66","06254",9011,11,"Connecticut","CT",9,"New London County"
"67","06470",9001,1,"Connecticut","CT",9,"Fairfield County"
"68","06451",9009,9,"Connecticut","CT",9,"New Haven County"
"69","06472",9009,9,"Connecticut","CT",9,"New Haven County"
"70","06702",9009,9,"Connecticut","CT",9,"New Haven County"
"71","06487",9009,9,"Connecticut","CT",9,"New Haven County"
"72","06482",9001,1,"Connecticut","CT",9,"Fairfield County"
"73","06777",9005,5,"Connecticut","CT",9,"Litchfield County"
"74","06790",9005,5,"Connecticut","CT",9,"Litchfield County"
"75","06750",9005,5,"Connecticut","CT",9,"Litchfield County"
"76","06883",9001,1,"Connecticut","CT",9,"Fairfield County"
"77","06870",9001,1,"Connecticut","CT",9,"Fairfield County"
"78","06904",9001,1,"Connecticut","CT",9,"Fairfield County"
"79","06804",9005,5,"Connecticut","CT",9,"Litchfield County"
"80","06795",9005,5,"Connecticut","CT",9,"Litchfield County"
"81","06020",9003,3,"Connecticut","CT",9,"Hartford County"
"82","06404",9001,1,"Connecticut","CT",9,"Fairfield County"
"83","06262",9015,15,"Connecticut","CT",9,"Windham County"
"84","06530",9009,9,"Connecticut","CT",9,"New Haven County"
"85","06763",9005,5,"Connecticut","CT",9,"Litchfield County"
"86","06143",9003,3,"Connecticut","CT",9,"Hartford County"
"87","06721",9009,9,"Connecticut","CT",9,"New Haven County"
"88","06350",9011,11,"Connecticut","CT",9,"New London County"
"89","06024",9005,5,"Connecticut","CT",9,"Litchfield County"
"90","06083",9003,3,"Connecticut","CT",9,"Hartford County"
"91","06779",9009,9,"Connecticut","CT",9,"New Haven County"
"92","06489",9009,9,"Connecticut","CT",9,"New Haven County"
"93","06167",9003,3,"Connecticut","CT",9,"Hartford County"
"94","06926",9001,1,"Connecticut","CT",9,"Fairfield County"
"95","06491",9001,1,"Connecticut","CT",9,"Fairfield County"
"96","06724",9009,9,"Connecticut","CT",9,"New Haven County"
"97","06071",9003,3,"Connecticut","CT",9,"Hartford County"
"98","06006",9003,3,"Connecticut","CT",9,"Hartford County"
"99","06876",9001,1,"Connecticut","CT",9,"Fairfield County"
"100","06388",9011,11,"Connecticut","CT",9,"New London County"
"101","06749",9009,9,"Connecticut","CT",9,"New Haven County"
"102","06042",9003,3,"Connecticut","CT",9,"Hartford County"
"103","06060",9003,3,"Connecticut","CT",9,"Hartford County"
"104","06050",9003,3,"Connecticut","CT",9,"Hartford County"
"105","06068",9005,5,"Connecticut","CT",9,"Litchfield County"
"106","06092",9003,3,"Connecticut","CT",9,"Hartford County"
"107","06027",9003,3,"Connecticut","CT",9,"Hartford County"
"108","06108",9003,3,"Connecticut","CT",9,"Hartford County"
"109","06105",9003,3,"Connecticut","CT",9,"Hartford County"
"110","06118",9003,3,"Connecticut","CT",9,"Hartford County"
